QueryType,QueryText,KccAns
Fertilizer Use and Availability,Information regarding total fertilizer dose used in barseem,"Total fertilizer dose used in barseem is 22kg urea, 185kg superphosphate per acre."
Nutrient Management,Information regarding the better yield of the paddy,Information regarding the better yield of the paddy?
Plant Protection,Information regarding the control of sheath blight in basmati crop,For control of sheath blight in basmati spray 200 ml amistar top 325 sc (azoxystrobin(22.9 w/w)+difenoconazole) or 80 gram nativo 75 wg (tebuconazole+trifloxystrobin) or 200 ml folicur/orius 25 ec (tebuconazole) or 200 ml monceren 250 sc (pencycuron) in 200 litres of water per acre.
Plant Protection,Information regarding control of grasshopper and aphid in paddy ,"For control of grasshopper and aphid in paddy, spray 120 gm chess(pymetrozine 50 wg) or 40 ml confidor(imidacloprid 200 sl (17.8 % w/w) or ekalux 800 ml (quinalphos 25% ec ) or 1 litre chlorpyriphos 20 ec in 100 litres of water per acre"
Plant Protection,Information regarding control of grasshopper in paddy ,"For control of grasshopper in paddy, spray 120 gm chess(pymetrozine 50 wg) or 40 ml confidor(imidacloprid 200 sl (17.8 % w/w) or ekalux 800 ml (quinalphos 25% ec ) or 1 litre chlorpyriphos 20 ec in 100 litres of water per acre"
"Animal Production (Piggery, Goatery, Sheep Farming etc.)",Information regarding the contact number of district development manager of patiala ,The contact number of ddm jps ahuja of patiala is 01752210123 or 9779926095
Livestock Products Processing and Packaging,Information regarding contact no. of central poultry development organisation ,Contact no. of central poultry development organisation-0172 265 5391
Plant Protection,Information regarding control of rice ear cutting caterpillar in paddy ,"For control of rice ear cutting caterpillar in paddy, spray 400 ml ekalux 25 ec (quinalphos) in 100 litres of water per acre"
Cultural Practices,Information regarding improved varieties of pea in main season,"Improved early maturing varieties of pea in main season are punjab 89,mithi phali."
Cultural Practices,Information regarding sowing time of pea,"Improved early maturing varieties of pea in main season are punjab 89,mithi phali."
Cultural Practices,Information regarding improved early maturing varieties of pea,"Improved early maturing varieties of pea in main season are punjab 89,mithi phali."
Plant Protection,Information regarding the minimum hours required for fungicide and insecticide to kill pest,Minimum 8 hours are required after pesticide application to kill pest.
Plant Protection,Information regarding the better yield of the paddy,Spray npk 0:00:50 potassium 1 kg in 100 litres of water per acre at ear heading stage.
Market Information,Information regarding contact no. of chief agricultural officer of patiala,The contact no. of chief agricultural officer of patiala is 0175-2214774.
Sowing Time and Weather,Information regarding sowing time of barley ,Sowing time of barley is 15 october to 15 november.
Plant Protection,Information regarding control of stem borer and leaf folder in paddy and basmati,"For control of stem borer or leaf folder in paddy and basmati, spray 1 litre chlorpyriphos 20 ec, 20 ml fame(flubendiamide 480 sc) or 170 gram mortar(cartap hydrochloride 75 sg) in 100 litres of water per acre"
Plant Protection,Information regarding control of rice ear cutting caterpillar in paddy ,"For control of rice ear cutting caterpillar in paddy, spray 800 ml ekalux 25 ec (quinalphos) in 100 litres of water per acre."
Plant Protection,Information regarding the control of stem borer and leaf folder in paddy ,"For control of rice ear cutting caterpillar in paddy, spray 800 ml ekalux 25 ec (quinalphos) in 100 litres of water per acre."
Plant Protection,Information regarding control of neck blast in paddy ,Give two spray of amistar top ( azoxystrobin + difenoconazole )200ml or z-78 @500g in 200 litre of water in one acre to control blast in paddy crop.
Plant Protection,Information regarding control of grasshopper and aphid in paddy ,Give two spray of amistar top ( azoxystrobin + difenoconazole )200ml or z-78 @500g in 200 litre of water in one acre to control blast in paddy crop.
Plant Protection,Information regarding application of insecticide in paddy crop,Take proper survey of field and ensure the insect attack before spray of any insecticide.
Plant Protection,Information regarding control of damping off in cauliflower,Control of damping off in cauliflower spray 200g bavistin or 600g indofil m-45 in 200lt of water per acre.
Plant Protection,Information regarding control of grasshopper in paddy ,Control of damping off in cauliflower spray 200g bavistin or 600g indofil m-45 in 200lt of water per acre.
Plant Protection,Information regarding control of stem borer in basmati,Take proper survey of field and ensure the 2% stem borer attack in basmati before application of any pesticide.if spikes are emerged of whole crop then no need to spray.
Plant Protection,Information regarding control of spotted bollworm in okra,To control of spotted bollworm in okra spray 160 ml decis 2.8 ec (deltamethrin) or 70g proclaim 5 sg or 100 ml sumicidin 20ec (fenvalerate) in 100-125 litres of water per acre.
Cultural Practices,Information regarding contact no. of patiala kvk,"The contact no. of patiala kvk is 0175-2225473 , 94173-60460"
Cultural Practices,"Information regarding contact number of punjab agriculture university,ludhiana","The contact no. of patiala kvk is 0175-2225473 , 94173-60460"
Cultural Practices,Information regarding best variety of papaya,"The contact no. of patiala kvk is 0175-2225473 , 94173-60460"
Plant Protection,Information regarding control of grasshopper in paddy ,There is no rainfall in the next three days and partly cloudy weather will remain.today's maximum temperature 32°c and minimum temperature is 22°c and wind speed is 12 km/hour and you can do the spray on the crops as per weather forecast.
Water Management,Information regarding the irrigation schedule in paddy,Apply irrigation to the paddy crop according to the requirement no need of regular standing of water in the crop apply water to the crop after 2-3 of water absorbing by the field stop irrigation to the crop before 15 days of harvesting.
Plant Protection,Information regarding control of maize borer,Spray 40 ml coragen(chlorantraniliprole 18.5 sc) in 80 litres of water per acre for the control of maize borer.
Seeds and Planting Material,Information regarding seed treatment of potato crop,"To control black scurf treat the tubers with monceren @ 2.5 ml per litre of water for 10 minutes after taking out of the cold storage.do not sow potato after taking out from store ,keep it in shade for 8-10 day let it be dry."
Seeds and Planting Material,Information regarding manures and fertilizers used in potato crop,"To control black scurf treat the tubers with monceren @ 2.5 ml per litre of water for 10 minutes after taking out of the cold storage.do not sow potato after taking out from store ,keep it in shade for 8-10 day let it be dry."
Plant Protection,Information regarding control of grasshopper and aphid in paddy ,"For control of grasshopper and aphid in paddy, spray 120 gm chess(pymetrozine 50 wg) or 40 ml confidor(imidacloprid 200 sl (17.8 % w/w) or ekalux 800 ml (quinalphos 25% ec ) or 1 litre chlorpyriphos 20 ec in 100 litres of water per acre??"
Plant Protection,Information regarding control of grasshopper and aphid in paddy ,For control of stem borer and leaf folder in paddy spray chloropyriphos 20% 1 litre or fame 20 ml or mortar 170 gm in 100 litre of water per acre
Plant Protection,Information regarding to stem borer or leaf folder in paddy and basmati,For control of stem borer and leaf folder in paddy spray chloropyriphos 20% 1 litre or fame 20 ml or mortar 170 gm in 100 litre of water per acre
Cattle shed Planning and Management,Information regarding the contact no. of animal husbandry department of patiala,The contact no. of animal husbandry department of patiala is 0175-2360160.
Government Schemes,Information regarding the contact number of dairy development department ,The contact number of dairy development department is 0172 270 0228.
Plant Protection,Information regarding control of rice ear cutting caterpillar in paddy ,"For control of rice ear cutting caterpillar in paddy, spray 600-800 ml ekalux 25 ec (quinalphos) or fame 20ml in 100 litres of water per acre"
Plant Protection,Information regarding water management in paddy ,In paddy last irrigation to be applied is 15 days before harvesting
Plant Protection,Information regarding the control of sheath blight in paddy crop,For control of sheath blight in paddy spray 200 ml tilt/bumper (propiconazole 25 ec) or 200 ml amistar top 325 sc (azoxystrobin+difenoconazole) or 80 gram nativo 75 wg (tebuconazole+trifloxystrobin) or 200 ml folicur/orius 25.9 ec (tebuconazole) or 320 ml lusture (flusilazole+carbendazim) or 200 ml monceren 250 sc (pencycuron) in 200 litres of water per acre.
Plant Protection,Information regarding contact no. of patiala kvk,The contact no. of patiala kvk is 0175-2225473.
Training and Exposure Visits,Information regarding contact no. of pusa institute delhi,Contact no. of pusa institute delhi is 1800-11-8989'
Varieties,Information regrading sowing time of wheat,"Sowing time of wheat- from last week of october to last week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
